"fips_state","state_code","state_name","group","vaxx_count","pct_of_vaxx_total","pct_of_vaxx_known","vaxx_total","vaccination_rate","state_residents","pct_of_state"
"34","NJ","New Jersey","raceeth_other",200951,0.0420991788448856,0.0544089289224459,4773276,0.935347536084826,214841,0.0241878410617201
"34","NJ","New Jersey","raceeth_unknown",1079930,0.226245035904063,,4773276,,,
"34","NJ","New Jersey","raceeth_white",2145658,0.449514756741492,0.580952339694142,4773276,0.444708308997597,4824866,0.543206799224065
"35","NM","New Mexico","raceeth_aian",172128,0.152438306182002,0.181955027103823,1129165,0.946944523909073,181772,0.0866889956214837
"35","NM","New Mexico","raceeth_asian",17218,0.0152484357910491,0.0182009995856202,1129165,0.511010862468095,33694,0.0160690261342246
"35","NM","New Mexico","raceeth_black",12812,0.0113464374117157,0.013543454912938,1129165,0.322379346786775,39742,0.0189533815108433
"35","NM","New Mexico","raceeth_hispanic",355476,0.314813158395806,0.37577061962469,1129165,0.344136695871049,1032950,0.49262481585289
"35","NM","New Mexico","raceeth_nhpi",1078,0.000954687755996688,0.00113954452046106,1129165,1.71383147853736,629,0.000299976774453234
"35","NM","New Mexico","raceeth_other",51060,0.0452192549361696,0.0539750864700759,1129165,1.36655604325019,37364,0.0178192880773778
"35","NM","New Mexico","raceeth_unknown",183173,0.162219870435233,,1129165,,,
"35","NM","New Mexico","raceeth_white",336220,0.297759849092028,0.355415267782391,1129165,0.436265210632716,770678,0.367544516028727
"36","NY","New York","raceeth_aian",23855,0.00239067868817432,0.00342435716325133,9978338,0.564374940853601,42268,0.00217276415356551
"36","NY","New York","raceeth_asian",824305,0.0826094485875303,0.118328012217727,9978338,0.493784451784574,1669362,0.0858126694644749
"36","NY","New York","raceeth_black",603781,0.0605091749748305,0.0866720516614987,9978338,0.218467646195746,2763709,0.142066997399602
"36","NY","New York","raceeth_hispanic",1145412,0.114789857789945,0.164422543998073,9978338,0.305503730472464,3749257,0.19272857036303
"36","NY","New York","raceeth_nhpi",7206,0.000722164352420213,0.00103441281569437,9978338,1.9344966442953,3725,0.000191481652125284
"36","NY","New York","raceeth_other",280404,0.0281012729775239,0.0402516640538388,9978338,0.54477420558133,514716,0.0264587033705551
"36","NY","New York","raceeth_unknown",3012067,0.301860590410948,,9978338,,,
"36","NY","New York","raceeth_white",4081308,0.409016812218628,0.585866958089916,9978338,0.381055866174241,10710524,0.550568813596647
